number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
0,0.7340377840639432,2025-12-26 18:52:02.528266,2025-12-26 18:52:11.003789,0 days 00:00:08.475523,0.8598528437324806,0.7803345035229626,0.6174250836504598,0.1670139803318274,0.07259248719561363,4,7,7,350,1.5037233822532774,0.5514612357395061,1.478936896513396,0.6467983561008608,COMPLETE
1,0.724277511873659,2025-12-26 18:52:11.008783,2025-12-26 18:52:14.914673,0 days 00:00:03.905890,0.7835558684167139,0.6418481581956126,0.6873687420594126,0.44356732372417834,0.016432378919707624,4,3,4,285,0.7966459025098709,1.4159046082342293,1.119248988951925,0.7295835055926347,COMPLETE
2,0.7116592628874086,2025-12-26 18:52:14.916675,2025-12-26 18:52:19.378842,0 days 00:00:04.462167,0.884665661176,0.8896896099223679,0.6195154778955838,0.5056586389260788,0.049743185797885274,4,5,2,280,1.6742754917979839,1.2615344229334267,0.8683704798044687,0.6511572371061874,COMPLETE
3,0.7382122353277522,2025-12-26 18:52:19.381870,2025-12-26 18:52:24.174417,0 days 00:00:04.792547,0.6935133228268233,0.7560204063533432,0.7987566853061946,0.7319903015590866,0.03822726574649208,4,3,2,376,1.2294074748835753,0.9621361388138177,1.478709239435191,0.677633994480005,COMPLETE
4,0.7230115749653524,2025-12-26 18:52:24.178233,2025-12-26 18:52:34.535067,0 days 00:00:10.356834,0.6975990992289793,0.7166031869068445,0.6135681866731614,0.11636937653893963,0.05048762470240494,1,7,10,576,0.761293354015623,2.5718437728798236,1.0497273286855124,0.6587948587257435,COMPLETE
5,0.7345203606557551,2025-12-26 18:52:34.540068,2025-12-26 18:52:39.716676,0 days 00:00:05.176608,0.6016566351370807,0.8446384285364503,0.6596147044602517,0.790165202450388,0.08779238696445962,0,3,2,417,1.5016574845409492,2.3225179201024684,1.339889242680162,0.8316734307889972,COMPLETE
6,0.7279885897583308,2025-12-26 18:52:39.721597,2025-12-26 18:52:44.415940,0 days 00:00:04.694343,0.6975549966080241,0.8188818535014193,0.6932946965146987,0.2981735186394869,0.10353528774657658,0,3,7,343,1.3838477013038624,2.7180318564408164,1.1305504476133645,0.6190675050858071,COMPLETE
7,0.722400127673048,2025-12-26 18:52:44.420457,2025-12-26 18:52:52.254004,0 days 00:00:07.833547,0.6076257380232285,0.6323674280979913,0.7282623055075649,0.42034669727329305,0.04572073526670409,3,6,8,486,0.35342961566744824,2.091026028159451,1.0200491867534287,0.7568198488145982,COMPLETE
8,0.7360088727099013,2025-12-26 18:52:52.257498,2025-12-26 18:53:00.089917,0 days 00:00:07.832419,0.6483663861762013,0.878909295702772,0.6869254358741304,0.22159862411871684,0.030384197380564082,4,4,8,563,1.6738046452595088,2.083509391276059,1.4100224131314025,0.6230939729486379,COMPLETE
9,0.7045526368958159,2025-12-26 18:53:00.092913,2025-12-26 18:53:05.584736,0 days 00:00:05.491823,0.6683805487625825,0.7281323365878769,0.633015577358303,0.7220684749426199,0.04308396816904059,3,7,9,274,1.6906251020682384,2.6518264581408584,0.8048664913718335,0.6954010424915591,COMPLETE
10,0.7175838512764956,2025-12-26 18:53:05.588739,2025-12-26 18:53:11.542999,0 days 00:00:05.954260,0.8109056876685534,0.7090888807137882,0.7556371865230098,0.7571822779343894,0.01383479125727307,2,4,5,367,1.9520295406256332,2.906118237355278,0.9762476070777549,0.6969608796062265,COMPLETE
11,0.7373932580571887,2025-12-26 18:53:11.546015,2025-12-26 18:53:16.883578,0 days 00:00:05.337563,0.8724797657899961,0.6718685672000917,0.6835939392709834,0.4270092674216461,0.011050512402941122,1,4,7,320,0.5463212825550793,1.7236319006939076,1.4899553178774205,0.6154436253749968,COMPLETE
12,0.7163605047097945,2025-12-26 18:53:16.887386,2025-12-26 18:53:25.795539,0 days 00:00:08.908153,0.7607324052224276,0.6270869310163225,0.7900589132282684,0.32583734953943994,0.019031956584088256,0,6,8,469,1.7200142425017046,1.3019501624293395,0.930562957279898,0.7896917491780738,COMPLETE
13,0.7228203424055949,2025-12-26 18:53:25.798556,2025-12-26 18:53:34.405637,0 days 00:00:08.607081,0.8072813214307398,0.7160206038901612,0.6523099287014974,0.21987183139845345,0.010459448854330408,0,6,6,436,1.8924409808524487,0.8438023603649831,1.038746445735181,0.793551837122835,COMPLETE
14,0.7323891201236977,2025-12-26 18:53:34.409716,2025-12-26 18:53:45.445186,0 days 00:00:11.035470,0.6725556872701355,0.6279308303417698,0.7588951735068019,0.662916650150912,0.020107722993504343,2,7,7,570,1.8252667885206555,2.751045142908326,1.2431710200912875,0.7665602434798386,COMPLETE
15,0.7086183154521052,2025-12-26 18:53:45.449191,2025-12-26 18:53:51.006001,0 days 00:00:05.556810,0.6484886142283841,0.8695662565581238,0.6252419894985146,0.634906659393218,0.11352291523303974,3,6,9,340,1.330929401421303,0.5229926290415741,0.8710300800062225,0.7926094938462863,COMPLETE
16,0.7354889514672117,2025-12-26 18:53:51.010033,2025-12-26 18:53:53.947481,0 days 00:00:02.937448,0.67117472624904,0.6976199094477803,0.8136537664042608,0.5389709446269504,0.0441937661426272,3,3,8,202,1.569035388700641,2.1240822476180368,1.3944563873459246,0.6672807928381679,COMPLETE
17,0.7301401387899084,2025-12-26 18:53:53.950480,2025-12-26 18:53:59.364017,0 days 00:00:05.413537,0.8676139665531339,0.7893415877991788,0.7179293174000281,0.23299223253431267,0.027068696442820516,2,3,4,427,1.6511792160208023,1.7565927327629802,1.2038327192384515,0.8919031664257338,COMPLETE
18,0.7375465158194922,2025-12-26 18:53:59.369200,2025-12-26 18:54:06.007380,0 days 00:00:06.638180,0.8861785731007763,0.8744593170661346,0.8821375753058743,0.5341042219303759,0.021390154489226144,2,6,2,278,0.9292697904342555,0.5386415413221686,1.4498229938114078,0.6531332038221147,COMPLETE
19,0.7222350900716096,2025-12-26 18:54:06.009832,2025-12-26 18:54:17.786891,0 days 00:00:11.777059,0.6508478240058277,0.7670403787375051,0.6950766015468833,0.33882329645144393,0.10074348365920534,0,7,4,587,1.8914631160733277,2.2400744916874324,1.1990428190625555,0.8553410014550571,COMPLETE
20,0.7361617845931377,2025-12-26 18:54:17.790878,2025-12-26 18:54:27.603550,0 days 00:00:09.812672,0.8107452251961328,0.7078473453659265,0.8091047222985804,0.7080298039459666,0.014613410559960549,5,7,6,446,0.7991061352496387,2.523402888696284,1.3670793762754265,0.8222305853262614,COMPLETE
21,0.730656556512705,2025-12-26 18:54:27.607591,2025-12-26 18:54:36.143490,0 days 00:00:08.535899,0.8670016025452699,0.7013985470554607,0.8387378008308304,0.5374729480833239,0.038889192944041875,0,5,9,566,0.9384910194879048,0.7349548496021725,1.2047960986973218,0.8105900631773111,COMPLETE
22,0.7174426291165117,2025-12-26 18:54:36.155513,2025-12-26 18:54:42.910641,0 days 00:00:06.755128,0.7080571924233788,0.6381181537955655,0.8467801681978975,0.07287518745428707,0.02172694485023082,3,5,7,386,1.1878135420931675,2.424983882746527,0.9510747192477902,0.6112044566247643,COMPLETE
23,0.727368836574762,2025-12-26 18:54:42.913631,2025-12-26 18:54:46.360578,0 days 00:00:03.446947,0.7548901044903586,0.6968869418823738,0.8927556238387604,0.5280724261236549,0.04216203239858528,0,3,6,234,1.6518165311067963,1.1770806281551855,1.1072799944939453,0.8178274001167984,COMPLETE
24,0.7204579659390422,2025-12-26 18:54:46.364805,2025-12-26 18:54:50.532174,0 days 00:00:04.167369,0.6750728694493786,0.7647679994118362,0.6469311128013258,0.3567147083107024,0.09620306582673016,5,7,8,210,1.514813068590106,2.150493441794328,0.99595372786216,0.6519882960212537,COMPLETE
